survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,fare_capped,family_size,is_alone
1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,71.2833,2,0
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,53.1,2,0
0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,51.8625,1,1
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,16.7,3,0
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,26.55,1,1
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,13.0,1,1
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,35.5,1,1
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,180.070875,6,0
1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,146.5208,2,0
1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False,76.7292,2,0
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False,61.9792,2,0
1,1,male,29.69911764705882,0,0,35.5,S,First,man,True,C,Southampton,yes,True,35.5,1,1
1,1,female,38.0,0,0,80.0,S,First,woman,False,B,,yes,True,80.0,1,1
0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False,83.475,2,0
1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,10.5,1,1
0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,7.65,1,1
1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,180.070875,6,0
0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False,61.175,2,0
0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True,34.6542,1,1
1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False,63.3583,2,0
0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,77.2875,2,0
0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True,52.0,1,1
0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False,180.070875,2,0
1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True,13.0,1,1
0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False,77.2875,2,0
1,3,female,29.69911764705882,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False,22.3583,3,0
1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False,26.2833,3,0
0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False,53.1,2,0
0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,79.2,1,1
0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False,26.0,3,0
1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False,66.6,2,0
1,1,female,29.69911764705882,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,55.0,2,0
0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True,33.5,1,1
0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True,30.6958,1,1
0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True,28.7125,1,1
1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,39.0,4,0
0,1,male,29.69911764705882,0,0,50.0,S,First,man,True,A,Southampton,no,True,50.0,1,1
1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,26.0,3,0
1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True,27.7208,1,1
1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True,146.5208,1,1
0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False,10.4625,2,0
1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True,31.0,1,1
1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,113.275,2,0
1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True,76.2917,1,1
1,1,male,38.0,1,0,90.0,S,First,man,True,C,Southampton,yes,False,90.0,2,0
1,1,female,35.0,1,0,83.475,S,First,woman,False,C,Southampton,yes,False,83.475,2,0
0,1,male,44.0,2,0,90.0,Q,First,man,True,C,Queenstown,no,False,90.0,3,0
1,1,male,37.0,1,1,52.5542,S,First,man,True,D,Southampton,yes,False,52.5542,3,0
0,3,female,29.0,1,1,10.4625,S,Third,woman,False,G,Southampton,no,False,10.4625,3,0
0,1,male,62.0,0,0,26.55,S,First,man,True,C,Southampton,no,True,26.55,1,1
1,1,female,30.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,86.5,1,1
0,1,male,52.0,1,1,79.65,S,First,man,True,E,Southampton,no,False,79.65,3,0
0,1,male,40.0,0,0,0.0,S,First,man,True,B,Southampton,no,True,0.0,1,1
1,1,female,58.0,0,1,153.4625,S,First,woman,False,C,Southampton,yes,False,153.4625,2,0
1,1,female,35.0,0,0,135.6333,S,First,woman,False,C,Southampton,yes,True,135.6333,1,1
0,1,male,37.0,0,1,29.7,C,First,man,True,C,Cherbourg,no,False,29.7,2,0
1,1,female,63.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,77.9583,2,0
0,1,male,29.69911764705882,0,0,26.0,S,First,man,True,A,Southampton,no,True,26.0,1,1
1,1,female,19.0,1,0,91.0792,C,First,woman,False,B,Cherbourg,yes,False,91.0792,2,0
0,2,male,36.0,0,0,12.875,C,Second,man,True,D,Cherbourg,no,True,12.875,1,1
0,1,female,2.0,1,2,151.55,S,First,child,False,C,Southampton,no,False,151.55,4,0
1,1,male,29.69911764705882,0,0,30.5,S,First,man,True,C,Southampton,yes,True,30.5,1,1
1,1,female,50.0,0,1,247.5208,C,First,woman,False,B,Cherbourg,yes,False,180.070875,2,0
1,2,female,29.69911764705882,0,0,12.35,Q,Second,woman,False,E,Queenstown,yes,True,12.35,1,1
1,1,male,0.92,1,2,151.55,S,First,child,False,C,Southampton,yes,False,151.55,4,0
1,1,female,17.0,1,0,108.9,C,First,woman,False,C,Cherbourg,yes,False,108.9,2,0
1,1,female,30.0,0,0,56.9292,C,First,woman,False,E,Cherbourg,yes,True,56.9292,1,1
1,1,female,24.0,0,0,83.1583,C,First,woman,False,C,Cherbourg,yes,True,83.1583,1,1
1,1,female,18.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,180.070875,5,0
1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False,164.8667,3,0
1,1,female,40.0,1,1,134.5,C,First,woman,False,E,Cherbourg,yes,False,134.5,3,0
1,1,female,36.0,0,0,135.6333,C,First,woman,False,C,Cherbourg,yes,True,135.6333,1,1
1,2,female,36.0,0,0,13.0,S,Second,woman,False,D,Southampton,yes,True,13.0,1,1
1,1,female,16.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,57.9792,2,0
0,1,male,45.5,0,0,28.5,S,First,man,True,C,Southampton,no,True,28.5,1,1
0,1,male,38.0,0,1,153.4625,S,First,man,True,C,Southampton,no,False,153.4625,2,0
0,1,male,29.0,1,0,66.6,S,First,man,True,C,Southampton,no,False,66.6,2,0
1,1,female,41.0,0,0,134.5,C,First,woman,False,E,Cherbourg,yes,True,134.5,1,1
1,2,male,2.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False,26.0,3,0
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False,180.070875,6,0
1,2,female,24.0,0,0,13.0,S,Second,woman,False,F,Southampton,yes,True,13.0,1,1
0,1,male,29.69911764705882,0,0,35.0,S,First,man,True,C,Southampton,no,True,35.0,1,1
1,1,female,22.0,0,1,55.0,S,First,woman,False,E,Southampton,yes,False,55.0,2,0
1,1,female,60.0,1,0,75.25,C,First,woman,False,D,Cherbourg,yes,False,75.25,2,0
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,69.3,1,1
1,1,male,25.0,1,0,55.4417,C,First,man,True,E,Cherbourg,yes,False,55.4417,2,0
0,1,male,27.0,0,2,211.5,C,First,man,True,C,Cherbourg,no,False,180.070875,3,0
1,1,male,36.0,1,2,120.0,S,First,man,True,B,Southampton,yes,False,120.0,4,0
1,1,female,23.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False,113.275,2,0
1,3,female,24.0,0,2,16.7,S,Third,woman,False,G,Southampton,yes,False,16.7,3,0
1,1,female,33.0,1,0,90.0,Q,First,woman,False,C,Queenstown,yes,False,90.0,2,0
1,3,male,32.0,0,0,8.05,S,Third,man,True,E,Southampton,yes,True,8.05,1,1
1,1,male,28.0,0,0,26.55,S,First,man,True,C,Southampton,yes,True,26.55,1,1
0,1,male,50.0,1,0,55.9,S,First,man,True,E,Southampton,no,False,55.9,2,0
1,1,female,14.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False,120.0,4,0
0,1,male,64.0,1,4,263.0,S,First,man,True,C,Southampton,no,False,180.070875,6,0
1,1,male,4.0,0,2,81.8583,S,First,child,False,A,Southampton,yes,False,81.8583,3,0
1,1,male,52.0,0,0,30.5,S,First,man,True,C,Southampton,yes,True,30.5,1,1
0,1,male,30.0,0,0,27.75,C,First,man,True,C,Cherbourg,no,True,27.75,1,1
1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False,89.1042,2,0
0,1,male,65.0,0,0,26.55,S,First,man,True,E,Southampton,no,True,26.55,1,1
1,1,female,29.69911764705882,1,0,51.8625,S,First,woman,False,D,Southampton,yes,False,51.8625,2,0
1,1,male,48.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,26.55,1,1
0,1,male,47.0,0,0,38.5,S,First,man,True,E,Southampton,no,True,38.5,1,1
1,2,female,23.0,0,0,13.7917,C,Second,woman,False,D,Cherbourg,yes,True,13.7917,1,1
0,1,male,29.69911764705882,0,0,52.0,S,First,man,True,A,Southampton,no,True,52.0,1,1
1,1,male,25.0,1,0,91.0792,C,First,man,True,B,Cherbourg,yes,False,91.0792,2,0
1,1,female,35.0,1,0,90.0,S,First,woman,False,C,Southampton,yes,False,90.0,2,0
0,1,male,58.0,0,0,29.7,C,First,man,True,B,Cherbourg,no,True,29.7,1,1
0,1,male,55.0,0,0,30.5,S,First,man,True,C,Southampton,no,True,30.5,1,1
1,1,female,54.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,78.2667,2,0
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False,151.55,4,0
1,1,female,16.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,86.5,1,1
0,1,male,18.0,1,0,108.9,C,First,man,True,C,Cherbourg,no,False,108.9,2,0
1,1,male,36.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,26.2875,1,1
0,1,male,47.0,0,0,34.0208,S,First,man,True,D,Southampton,no,True,34.0208,1,1
1,2,female,34.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True,10.5,1,1
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True,93.5,1,1
1,1,female,44.0,0,1,57.9792,C,First,woman,False,B,Cherbourg,yes,False,57.9792,2,0
0,1,male,29.69911764705882,0,0,221.7792,S,First,man,True,C,Southampton,no,True,180.070875,1,1
0,1,male,45.0,0,0,26.55,S,First,man,True,B,Southampton,no,True,26.55,1,1
1,1,female,22.0,0,2,49.5,C,First,woman,False,B,Cherbourg,yes,False,49.5,3,0
1,1,female,36.0,0,2,71.0,S,First,woman,False,B,Southampton,yes,False,71.0,3,0
0,1,male,50.0,1,0,106.425,C,First,man,True,C,Cherbourg,no,False,106.425,2,0
1,1,male,17.0,0,2,110.8833,C,First,man,True,C,Cherbourg,yes,False,110.8833,3,0
1,1,female,48.0,1,0,39.6,C,First,woman,False,A,Cherbourg,yes,False,39.6,2,0
1,1,female,39.0,1,1,79.65,S,First,woman,False,E,Southampton,yes,False,79.65,3,0
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False,51.4792,3,0
1,1,male,36.0,0,0,26.3875,S,First,man,True,E,Southampton,yes,True,26.3875,1,1
1,1,female,39.0,1,0,55.9,S,First,woman,False,E,Southampton,yes,False,55.9,2,0
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False,110.8833,3,0
0,1,male,36.0,0,0,40.125,C,First,man,True,A,Cherbourg,no,True,40.125,1,1
1,1,female,18.0,0,2,79.65,S,First,woman,False,E,Southampton,yes,False,79.65,3,0
1,1,male,60.0,1,1,79.2,C,First,man,True,B,Cherbourg,yes,False,79.2,3,0
1,1,female,52.0,1,0,78.2667,C,First,woman,False,D,Cherbourg,yes,False,78.2667,2,0
1,1,male,49.0,1,0,56.9292,C,First,man,True,A,Cherbourg,yes,False,56.9292,2,0
1,1,female,40.0,0,0,153.4625,S,First,woman,False,C,Southampton,yes,True,153.4625,1,1
1,2,female,4.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False,39.0,4,0
1,1,male,42.0,1,0,52.5542,S,First,man,True,D,Southampton,yes,False,52.5542,2,0
0,1,male,61.0,0,0,32.3208,S,First,man,True,D,Southampton,no,True,32.3208,1,1
1,1,female,21.0,0,0,77.9583,S,First,woman,False,D,Southampton,yes,True,77.9583,1,1
1,1,male,80.0,0,0,30.0,S,First,man,True,A,Southampton,yes,True,30.0,1,1
1,1,male,32.0,0,0,30.5,C,First,man,True,B,Cherbourg,yes,True,30.5,1,1
1,1,female,24.0,0,0,69.3,C,First,woman,False,B,Cherbourg,yes,True,69.3,1,1
1,1,male,48.0,1,0,76.7292,C,First,man,True,D,Cherbourg,yes,False,76.7292,2,0
1,1,male,56.0,0,0,35.5,C,First,man,True,A,Cherbourg,yes,True,35.5,1,1
0,1,male,58.0,0,2,113.275,C,First,man,True,D,Cherbourg,no,False,113.275,3,0
0,1,male,47.0,0,0,25.5875,S,First,man,True,E,Southampton,no,True,25.5875,1,1
1,1,female,29.69911764705882,1,0,52.0,S,First,woman,False,C,Southampton,yes,False,52.0,2,0
0,1,male,31.0,1,0,52.0,S,First,man,True,B,Southampton,no,False,52.0,2,0
1,1,male,36.0,0,1,512.3292,C,First,man,True,B,Cherbourg,yes,False,180.070875,2,0
1,1,male,27.0,0,0,76.7292,C,First,man,True,D,Cherbourg,yes,True,76.7292,1,1
1,1,female,15.0,0,1,211.3375,S,First,child,False,B,Southampton,yes,False,180.070875,2,0
1,1,male,31.0,1,0,57.0,S,First,man,True,B,Southampton,yes,False,57.0,2,0
0,1,male,49.0,1,1,110.8833,C,First,man,True,C,Cherbourg,no,False,110.8833,3,0
0,3,male,42.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,7.65,1,1
1,1,female,18.0,1,0,227.525,C,First,woman,False,C,Cherbourg,yes,False,180.070875,2,0
1,1,male,35.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,26.2875,1,1
1,1,male,42.0,0,0,26.2875,S,First,man,True,E,Southampton,yes,True,26.2875,1,1
1,1,female,24.0,0,0,49.5042,C,First,woman,False,C,Cherbourg,yes,True,49.5042,1,1
0,1,male,29.69911764705882,0,0,26.55,S,First,man,True,C,Southampton,no,True,26.55,1,1
1,1,male,48.0,1,0,52.0,S,First,man,True,C,Southampton,yes,False,52.0,2,0
0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True,7.65,1,1
1,1,female,38.0,0,0,227.525,C,First,woman,False,C,Cherbourg,yes,True,180.070875,1,1
1,2,female,27.0,0,0,10.5,S,Second,woman,False,E,Southampton,yes,True,10.5,1,1
1,1,male,27.0,1,0,53.1,S,First,man,True,E,Southampton,yes,False,53.1,2,0
1,1,female,29.0,0,0,211.3375,S,First,woman,False,B,Southampton,yes,True,180.070875,1,1
1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True,180.070875,1,1
1,1,male,29.69911764705882,0,0,30.0,S,First,man,True,D,Southampton,yes,True,30.0,1,1
0,1,male,36.0,1,0,78.85,S,First,man,True,C,Southampton,no,False,78.85,2,0
1,1,female,21.0,2,2,262.375,C,First,woman,False,B,Cherbourg,yes,False,180.070875,5,0
0,1,male,70.0,1,1,71.0,S,First,man,True,B,Southampton,no,False,71.0,3,0
0,1,male,19.0,1,0,53.1,S,First,man,True,D,Southampton,no,False,53.1,2,0
1,3,male,6.0,0,1,12.475,S,Third,child,False,E,Southampton,yes,False,12.475,2,0
1,1,female,33.0,0,0,86.5,S,First,woman,False,B,Southampton,yes,True,86.5,1,1
1,1,female,36.0,1,2,120.0,S,First,woman,False,B,Southampton,yes,False,120.0,4,0
1,1,female,51.0,1,0,77.9583,S,First,woman,False,D,Southampton,yes,False,77.9583,2,0
0,2,female,57.0,0,0,10.5,S,Second,woman,False,E,Southampton,no,True,10.5,1,1
0,3,male,29.69911764705882,0,0,7.75,Q,Third,man,True,F,Queenstown,no,True,7.75,1,1
1,1,female,43.0,0,1,211.3375,S,First,woman,False,B,Southampton,yes,False,180.070875,2,0
1,1,female,17.0,1,0,57.0,S,First,woman,False,B,Southampton,yes,False,57.0,2,0
0,1,male,29.0,0,0,30.0,S,First,man,True,D,Southampton,no,True,30.0,1,1
0,1,male,46.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True,79.2,1,1
1,1,female,49.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True,25.9292,1,1
1,1,male,11.0,1,2,120.0,S,First,child,False,B,Southampton,yes,False,120.0,4,0
0,1,male,39.0,0,0,0.0,S,First,man,True,A,Southampton,no,True,0.0,1,1
1,1,female,33.0,1,0,53.1,S,First,woman,False,E,Southampton,yes,False,53.1,2,0
0,1,male,29.69911764705882,0,0,0.0,S,First,man,True,B,Southampton,no,True,0.0,1,1
1,1,female,52.0,1,1,93.5,S,First,woman,False,B,Southampton,yes,False,93.5,3,0
1,3,female,27.0,0,1,12.475,S,Third,woman,False,E,Southampton,yes,False,12.475,2,0
1,1,female,62.0,0,0,80.0,S,First,woman,False,B,,yes,True,80.0,1,1
1,1,female,39.0,1,1,83.1583,C,First,woman,False,E,Cherbourg,yes,False,83.1583,3,0
1,1,male,29.69911764705882,0,0,29.7,C,First,man,True,C,Cherbourg,yes,True,29.7,1,1
1,1,female,29.69911764705882,1,0,89.1042,C,First,woman,False,C,Cherbourg,yes,False,89.1042,2,0
1,1,female,16.0,0,1,39.4,S,First,woman,False,D,Southampton,yes,False,39.4,2,0
1,1,male,51.0,0,0,26.55,S,First,man,True,E,Southampton,yes,True,26.55,1,1
1,1,female,48.0,0,0,25.9292,S,First,woman,False,D,Southampton,yes,True,25.9292,1,1
0,1,male,31.0,0,0,50.4958,S,First,man,True,A,Southampton,no,True,50.4958,1,1
1,1,female,47.0,1,1,52.5542,S,First,woman,False,D,Southampton,yes,False,52.5542,3,0
0,1,male,33.0,0,0,5.0,S,First,man,True,B,Southampton,no,True,5.0,1,1
1,1,female,56.0,0,1,83.1583,C,First,woman,False,C,Cherbourg,yes,False,83.1583,2,0
1,1,female,19.0,0,0,30.0,S,First,woman,False,B,Southampton,yes,True,30.0,1,1
1,1,male,26.0,0,0,30.0,C,First,man,True,C,Cherbourg,yes,True,30.0,1,1
